Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
9,X073,P.S. 73 - BRONX,SCA IEH,PO18-ABATE AND REPLACE FLOORING IN THE 3RD FORR GYM AND ROOM 309,Construction,Complete,7/3/2023,IEH,9/26/2023,IEH,837.00,262.00,SCA0000072103
9,X073,P.S. 73 - BRONX,SCA IEH,PO18-ABATE AND REPLACE FLOOR TILES IN ROOMS: RM: 209 APPROX. 672SF RM: 211 APPROX. 672SF RM: 107(OFF,Construction,Complete,7/31/2023,IEH,9/26/2023,IEH,894.00,319.00,SCA0000072180
9,X073,P.S. 73 - BRONX,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.00,0.00,DSF0001036207
9,X073,P.S. 73 - BRONX,DOE - RESOA,FY20 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,11/5/2021,DOER,,DOER,28941.00,0.00,DSF0000913492
9,X073,P.S. 73 - BRONX,DOE - RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,In-Progress,6/30/2022,DOER,,DOER,290644.00,0.00,DSF0000913493
9,X073,P.S. 73 - BRONX,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,7/3/2023,DOES,,DOES,65832.00,6417.00,DSF0001084513
9,X082,I.S. 232 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,5/27/2020,9/24/2020,6/19/2020,2585,4594.00,4594.00,DSF0000960752
9,X082,I.S. 232 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,6/19/2020,12/16/2020,12/9/2020,11633,18378.00,18378.00,DSF0000960752
9,X082,I.S. 232 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,7/8/2022,4/3/2023,,149930,137016.00,107147.00,DSF0000960752
9,X082,I.S. 232 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,7/8/2022,4/3/2023,,234598,232005.00,115367.00,DSF0000960752
9,X082,I.S. 303 - BRONX,SCA CIP RESOA,FY23 RESO A LIBRARY UPGRADE,Scope,Complete,2/1/2023,6/2/2023,5/9/2023,0,12154.00,12154.00,DSF0001036216
9,X082,I.S. 303 - BRONX,SCA CIP RESOA,FY23 RESO A LIBRARY UPGRADE,Design,In-Progress,5/18/2023,10/4/2023,,31200,28253.00,3301.00,DSF0001036216
9,X082,I.S. 303 - BRONX,SCA CIP RESOA,FY23 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,457600,457600.00,0.00,DSF0001036216
9,X082,I.S. 303 - BRONX,SCA CIP RESOA,FY23 RESO A LIBRARY UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,31200,31200.00,8785.00,DSF0001036216
9,X082,I.S. 232 - BRONX,SCA IEH,"IEH PO18-STAIRCASES C,D,E,F, I AND J,ALL HALF LANDINGS AT 1.5,2.5,3.5,4.5",Construction,Complete,12/19/2017,IEH,7/18/2023,IEH,148.00,148.00,SCA0000049807
9,X082,ACADEMY FOR LANGUAGE & TECH - X,Fast Track Projects,CTF ROOM CONVERSION,Construction,In-Progress,7/25/2023,FTK,,FTK,60156.00,29689.00,DSF0001034943
9,X082,I.S. 303 - BRONX,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,170000.00,0.00,DSF0001086726
9,X082,I.S. 232 - BRONX,DOE - RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,1/27/2020,DOER,,DOER,421013.00,0.00,DSF0000890728
9,X082,I.S. 303 - BRONX,DOE - RESOA,RESO A BATHROOM UPGRADES,Construction,In-Progress,9/27/2023,DOER,,DOER,87515.00,0.00,DSF0001034525
9,X082,I.S. 303 - BRONX,DOE - RESOA,RESO A ROOM CONVERSION,Construction,In-Progress,6/5/2023,DOER,,DOER,21715.00,0.00,DSF0001034526
9,X082,I.S. 303 - BRONX,DOE - RESOA,RESO A AUDITORIUM UPGRADE,Construction,In-Progress,1/5/2023,DOER,,DOER,380938.00,0.00,DSF0001034527
9,X088,P.S. 88 - BRONX,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Scope,Complete,4/16/2021,9/16/2021,8/5/2021,51235,74245.00,74245.00,"DSF0001008802, DSF0001008801"
9,X088,P.S. 88 - BRONX,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Design,Complete,8/9/2021,1/12/2022,1/13/2022,252730,316193.00,295933.00,"DSF0001008802, DSF0001008801"
9,X088,P.S. 88 - BRONX,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Construction,In-Progress,7/5/2022,7/3/2024,,5388433,4887667.00,3398486.00,"DSF0001008802, DSF0001008801"
9,X088,P.S. 88 - BRONX,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,"CM,F&E",In-Progress,7/5/2022,7/3/2024,,384483,344025.00,340777.00,"DSF0001008802, DSF0001008801"
9,X088,P.S. 88 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Scope,Complete,8/6/2019,1/6/2020,9/3/2019,2901,2074.00,2074.00,"DSF0000912743, DSF0000914242"
9,X088,P.S. 88 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,Complete,9/3/2019,2/6/2020,1/31/2020,13056,8340.00,8340.00,"DSF0000912743, DSF0000914242"
9,X088,P.S. 88 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Construction,In-Progress,10/5/2020,7/1/2021,,168282,225463.00,211956.00,"DSF0000912743, DSF0000914242"
9,X088,P.S. 88 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,"CM,F&E",In-Progress,10/5/2020,7/1/2021,,31190,38734.00,38734.00,"DSF0000912743, DSF0000914242"
9,X088,P.S. 88 - BRONX,Fast Track Projects,LSP FY20 RESO A AUDITORIUM UPGRADE,Construction,Complete,8/10/2021,FTK,5/11/2023,FTK,77973.00,73422.00,DSF0000913500
9,X088,P.S. 88 - BRONX,DOE - RESOA,FY24 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0001086733
9,X088,P.S. 88 - BRONX,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,6/5/2023,DOES,,DOES,65832.00,0.00,DSF0001084521
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,7/2/2019,11/1/2019,7/24/2019,2537,1166.00,1166.00,DSF0000912132
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,7/24/2019,12/26/2019,12/30/2019,11418,4719.00,4719.00,DSF0000912132
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,10/5/2020,7/1/2021,,147165,154131.00,145191.00,DSF0000912132
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM,F&E",In-Progress,10/5/2020,7/1/2021,,27276,33702.00,33702.00,DSF0000912132
9,X090,THE FAMILY SCHOOL - BRONX,SCA Furniture & Equipment,FY23 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,200000,200000.00,0.00,DSF0001035306
9,X090,SHERIDAN ACADEMY FOR YOUNG LEADERS,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/1/2023,DIIR,5/30/2023,DIIR,300000.00,298944.00,DSF0001036220
9,X090,THE FAMILY SCHOOL - BRONX,DOE - RESOA,FY19 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,598003.00,0.00,DSF0000890981
9,X090,THE FAMILY SCHOOL - BRONX,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,6/12/2023,DOES,,DOES,65832.00,0.00,DSF0001084522
9,X104,P.S. 199 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY,Scope,Complete,11/5/2021,3/28/2022,1/30/2023,88841,121787.00,121787.00,DSF0001034194
9,X104,P.S. 199 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY,Design,In-Progress,2/6/2023,7/25/2023,,444203,444203.00,172097.00,DSF0001034194
9,X104,P.S. 199 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY,Construction,PNS,PNS,PNS,PNS,9994556,9994556.00,282427.00,DSF0001034194
9,X104,P.S. 199 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY,"CM,F&E",PNS,PNS,PNS,PNS,621884,621884.00,31895.00,DSF0001034194
9,X104,P.S. 199 - BRONX,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,7/12/2022,11/28/2022,9/20/2023,227002,261715.00,12746.00,"DSF0001029994, DSF0001029995, DSF0001029996, DSF0001083865"
9,X104,P.S. 199 - BRONX,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,In-Progress,9/26/2023,3/1/2024,,1135010,1135010.00,26988.00,"DSF0001029994, DSF0001029995, DSF0001029996, DSF0001083865"
9,X104,P.S. 199 - BRONX,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,PNS,PNS,PNS,PNS,25537718,25537718.00,0.00,"DSF0001029994, DSF0001029995, DSF0001029996, DSF0001083865"
9,X104,P.S. 199 - BRONX,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",PNS,PNS,PNS,PNS,1589014,1589014.00,16702.00,"DSF0001029994, DSF0001029995, DSF0001029996, DSF0001083865"
9,X104,P.S. 199 - BRONX,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,9/6/2022,EMER,,EMER,1263260.00,1246401.00,SCA0000071034
9,X104,P.S. 199 - BRONX,SCA IEH,"PO18-REMOVE 9' OF ACM PIPE INSULATION ON RETURN LINE IN FAN ROOM, SPRAYED RED FOR ID",Construction,Complete,5/11/2023,IEH,5/14/2023,IEH,9055.00,9055.00,SCA0000071964
9,X104,P.S. 199 - BRONX,SCA IEH,PO18-ABATE CONCRETE FILLER AND FELT PAPER UNDER FLOOR TILES IN ROOM 429,Construction,In-Progress,8/7/2023,IEH,,IEH,1014.00,439.00,SCA0000072198
9,X104,P.S. 199 - BRONX,SCA Furniture & Equipment,FY23 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,150000,150000.00,0.00,DSF0001035293
9,X104,P.S. 199 - BRONX,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001036223
9,X104,P.S. 199 - BRONX,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,7/3/2023,DOES,,DOES,65832.00,6417.00,DSF0001084533
9,X109,P.S. 109 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,6/3/2019,10/2/2019,6/24/2019,12141,4294.00,4294.00,DSF0000911985
9,X109,P.S. 109 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,6/24/2019,11/25/2019,12/3/2019,54636,17219.00,17219.00,DSF0000911985
9,X109,P.S. 109 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,10/5/2020,7/1/2021,,704194,650636.00,403057.00,DSF0000911985
9,X109,P.S. 109 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM,F&E",In-Progress,10/5/2020,7/1/2021,,130519,68040.00,68040.00,DSF0000911985
9,X109,P.S. 109 - BRONX,SCA Furniture & Equipment,FY23 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,250000,250000.00,0.00,DSF0001036224
9,X109,P.S. 109 - BRONX,Fast Track Projects,PAVED AREAS- BLACKTOP,Construction,In-Progress,10/2/2019,FTK,,FTK,274731.00,271512.00,DSF0000908063
9,X109,P.S. 109 - BRONX,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,335000.00,0.00,DSF0001034063
9,X109,P.S. 109 - BRONX,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,106000.00,0.00,DSF0001086749
9,X109,P.S. 109 - BRONX,DOE - RESOA,FY21 RESO A ACCESSIBILITY,Construction,PNS,PNS,PNS,PNS,DOER,355000.00,0.00,DSF0001007903
9,X109,P.S. 109 - BRONX,DOE - Skilled Trades,WATER HEATERS,Construction,In-Progress,4/4/2017,DOES,,DOES,185872.00,0.00,DSF0000795508
9,X109,P.S. 109 - BRONX,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,7/3/2023,DOES,,DOES,65832.00,6417.00,DSF0001084538
9,X110,P.S. 110 - BRONX,SCA CIP,REPAIR RETAINING WALLS,Scope,Complete,8/2/2018,12/19/2018,12/3/2018,15503,148516.00,141215.00,DSF0001085148
9,X110,P.S. 110 - BRONX,SCA CIP,REPAIR RETAINING WALLS,Design,Complete,5/3/2022,5/12/2023,5/10/2023,77514,76356.00,69847.00,DSF0001085148
9,X110,P.S. 110 - BRONX,SCA CIP,REPAIR RETAINING WALLS,Construction,PNS,PNS,PNS,PNS,1744061,1744061.00,82841.00,DSF0001085148
9,X110,P.S. 110 - BRONX,SCA CIP,REPAIR RETAINING WALLS,"CM,F&E",PNS,PNS,PNS,PNS,108519,108519.00,22353.00,DSF0001085148
9,X110,P.S. 110 - BRONX,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Scope,Complete,7/9/2020,12/10/2020,9/25/2020,65925,77488.00,77488.00,"DSF0000951090, DSF0000960979"
9,X110,P.S. 110 - BRONX,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Design,Complete,9/29/2020,3/5/2021,2/17/2021,322173,319741.00,299243.00,"DSF0000951090, DSF0000960979"
9,X110,P.S. 110 - BRONX,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Construction,In-Progress,6/17/2021,6/16/2023,,6603970,6075360.00,5731284.00,"DSF0000951090, DSF0000960979"
9,X110,P.S. 110 - BRONX,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,"CM,F&E",In-Progress,6/17/2021,6/16/2023,,517398,489476.00,484057.00,"DSF0000951090, DSF0000960979"
9,X110,P.S. 110 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,7/6/2023,11/3/2023,7/18/2023,3773,906.00,906.00,DSF0001035043
9,X110,P.S. 110 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Design,In-Progress,7/18/2023,1/16/2024,,16980,16980.00,3622.00,DSF0001035043
9,X110,P.S. 110 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,218849,218849.00,0.00,DSF0001035043
9,X110,P.S. 110 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",PNS,PNS,PNS,PNS,40563,40563.00,1613.00,DSF0001035043
9,X110,P.S. 110 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY,Scope,Complete,5/28/2019,11/16/2022,2/8/2023,150499,178017.00,107728.00,"DSF0000912343, DSF0001002907, DSF0001030116, DSF0001030117"
9,X110,P.S. 110 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY,Design,Complete,2/9/2023,7/13/2023,5/11/2023,748896,518557.00,317220.00,"DSF0000912343, DSF0001002907, DSF0001030116, DSF0001030117"
9,X110,P.S. 110 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,16538847,16538847.00,178312.00,"DSF0000912343, DSF0001002907, DSF0001030116, DSF0001030117"
9,X110,P.S. 110 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,1080486,1080486.00,75057.00,"DSF0000912343, DSF0001002907, DSF0001030116, DSF0001030117"
9,X110,P.S. 110 - BRONX,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,8/1/2018,EMER,,EMER,,0.00,SCA0000053026
9,X110,P.S. 110 - BRONX,Fast Track Projects,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,8/10/2020,FTK,,FTK,363904.00,351579.00,DSF0000911986
9,X110,P.S. 110 - BRONX,DIIT - RESOA,FY 11 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,DIIR,79187.00,0.00,DSF0000801059
9,X110,P.S. 110 - BRONX,DOE - RESOA,FY22 RESO A FENCING,Construction,In-Progress,10/15/2022,DOER,,DOER,181144.00,0.00,DSF0001034064
9,X110,M.S. 128 - BRONX,DOE - RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,408000.00,0.00,DSF0001036225
9,X110,P.S. 110 - BRONX,DOE - RESOA,RESO A WATER FOUNTAIN UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,50000.00,0.00,DSF0001087228
9,X110,P.S. 110 - BRONX,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,7/5/2023,DOES,,DOES,452640.00,0.00,DSF0001035140
9,X114,P.S. 114 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,9/28/2018,3/6/2019,11/15/2018,99750,86609.00,86609.00,"DSF0000798352, DSF0000795596"
9,X114,P.S. 114 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,11/30/2018,5/3/2019,4/12/2019,399000,383987.00,373094.00,"DSF0000798352, DSF0000795596"
9,X114,P.S. 114 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,7/22/2019,7/20/2021,,7481250,7342903.00,5779763.00,"DSF0000798352, DSF0000795596"
9,X114,P.S. 114 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,7/22/2019,7/20/2021,,465500,1123161.00,1099274.00,"DSF0000798352, DSF0000795596"
9,X114,P.S. 114 - BRONX,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,5/26/2020,11/20/2020,9/25/2020,89701,230836.00,221405.00,"DSF0000953858, DSF0000953860, DSF0000953861, DSF0001007718"
9,X114,P.S. 114 - BRONX,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY / WINDOWS,Design,Complete,10/8/2020,12/15/2021,7/1/2021,444984,487465.00,485047.00,"DSF0000953858, DSF0000953860, DSF0000953861, DSF0001007718"
9,X114,P.S. 114 - BRONX,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,1/24/2022,10/15/2023,,9708168,8954921.00,5307732.00,"DSF0000953858, DSF0000953860, DSF0000953861, DSF0001007718"
9,X114,P.S. 114 - BRONX,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,1/24/2022,10/15/2023,,654256,423771.00,414549.00,"DSF0000953858, DSF0000953860, DSF0000953861, DSF0001007718"
9,X114,P.S. 114 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,7/6/2023,11/3/2023,7/18/2023,4385,885.00,885.00,DSF0001035057
9,X114,P.S. 114 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Design,In-Progress,7/18/2023,1/16/2024,,19732,19732.00,3541.00,DSF0001035057
9,X114,P.S. 114 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,254325,254325.00,3088.00,DSF0001035057
9,X114,P.S. 114 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",PNS,PNS,PNS,PNS,47138,47138.00,1127.00,DSF0001035057
9,X114,P.S. 114 - BRONX,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/1/2023,DIIR,5/15/2023,DIIR,200000.00,9326.00,DSF0001033372
9,X114,P.S. 114 - BRONX,DOE - RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001036231
9,X114,P.S. 114 - BRONX,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,7/3/2023,DOES,,DOES,65832.00,6417.00,DSF0001084541
9,X117,I.S. 117 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,8/17/2020,1/21/2021,1/4/2021,74140,74101.00,74101.00,"DSF0000961019, DSF0000953914"
9,X117,I.S. 117 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,1/5/2021,7/30/2021,7/28/2021,370700,307303.00,282303.00,"DSF0000961019, DSF0000953914"
9,X117,I.S. 117 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,6/15/2022,6/13/2024,,8340750,7501380.00,719991.00,"DSF0000961019, DSF0000953914"
9,X117,I.S. 117 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,6/15/2022,6/13/2024,,518980,146834.00,139878.00,"DSF0000961019, DSF0000953914"
9,X117,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - BRONX,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0000822725
9,X117,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - BRONX,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Design,PNS,PNS,PNS,PNS,60027,60027.00,0.00,DSF0000822725
9,X117,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - BRONX,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,880400,880400.00,0.00,DSF0000822725
9,X117,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - BRONX,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,"CM,F&E",PNS,PNS,PNS,PNS,60027,60027.00,0.00,DSF0000822725
9,X117,I.S. 117 - BRONX,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,250000.00,0.00,DSF0001086755
9,X117,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - BRONX,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001086756
9,X117,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - BRONX,DOE - RESOA,FY23 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,376000.00,0.00,DSF0001036234
9,X117,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - BRONX,DOE - RESOA,FY24 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,62000.00,0.00,DSF0001086754
9,X126,P.S. 126 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,11/10/2021,3/31/2022,1/19/2023,108040,164424.00,161081.00,"DSF0001034195, DSF0001081137"
9,X126,P.S. 126 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,In-Progress,1/20/2023,7/10/2023,,540197,540197.00,192066.00,"DSF0001034195, DSF0001081137"
9,X126,P.S. 126 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,12154436,12154436.00,210700.00,"DSF0001034195, DSF0001081137"
9,X126,P.S. 126 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",PNS,PNS,PNS,PNS,756276,756276.00,25089.00,"DSF0001034195, DSF0001081137"
9,X126,P.S. 126 - BRONX,SCA CIP,PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL PLAYGROUND REDEVELOPMENT,Scope,Complete,5/30/2019,8/28/2019,6/18/2019,53248,147613.00,136765.00,"DSF0000710909, DSF0000914327"
9,X126,P.S. 126 - BRONX,SCA CIP,PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL PLAYGROUND REDEVELOPMENT,Design,Complete,12/6/2019,7/30/2020,9/29/2020,265785,453961.00,449645.00,"DSF0000710909, DSF0000914327"
9,X126,P.S. 126 - BRONX,SCA CIP,PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL PLAYGROUND REDEVELOPMENT,Construction,In-Progress,7/12/2021,1/2/2023,,5940480,5512002.00,4978564.00,"DSF0000710909, DSF0000914327"
9,X126,P.S. 126 - BRONX,SCA CIP,PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL PLAYGROUND REDEVELOPMENT,"CM,F&E",In-Progress,7/12/2021,1/2/2023,,503484,901320.00,836075.00,"DSF0000710909, DSF0000914327"
9,X126,P.S. 126 - BRONX,SCA IEH,PO18-ABATE BATHROOM WALL IN ROOM 232 APPROX. 18 1/2 X 30,Construction,In-Progress,7/27/2023,IEH,,IEH,1022.00,272.00,SCA0000072169
9,X126,P.S. 126 - BRONX,DIIT - RESOA,FY 11 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,DIIR,59397.00,0.00,DSF0000801057
9,X126,P.S. 126 - BRONX,DOE - RESOA,FY22 RESO A LIBRARY UPGRADE,Construction,In-Progress,6/1/2023,DOER,,DOER,27535.00,0.00,DSF0001034067
9,X126,P.S. 126 - BRONX,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,350000.00,0.00,DSF0001036239
9,X126,P.S. 126 - BRONX,DOE - Skilled Trades,WATER HEATERS,Construction,In-Progress,4/4/2017,DOES,,DOES,188137.00,0.00,DSF0000795813
